KPI,media,hist,desv_pct
arrive,185.5463636363636,68.867,169.42710389063498
triage,1.656590909090909,8.133,-79.63124420151348
untreated,2.3711363636363636,5.0,-52.57727272727273
waitAvg,0.014541999999999998,6.433,-99.77394683662367
discharge,15.615,72.3,-78.402489626556
