run_id,pTransmit,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784779798298,0.0400,4079,34,60,10,33,1,10,3985,3,0.0112,4393,78099.15,40689.95
1784779798480,0.0400,4079,30,42,18,28,2,18,4007,3,0.0112,4393,78099.15,40689.94
1784779798662,0.0400,4088,34,52,13,33,1,13,4002,1,0.0112,4393,78099.14,40689.95
1784779798762,0.0400,4089,28,55,18,27,1,18,4006,4,0.0000,4393,78099.16,40689.94
1784779798859,0.0400,4070,33,45,16,31,2,16,3992,1,0.0112,4393,78099.14,40689.96
1784779799001,0.0400,4082,55,56,14,54,1,14,3971,1,0.0000,4393,78099.20,40689.90
1784779799108,0.0400,4093,37,62,16,35,2,16,3994,5,0.0112,4393,78099.19,40689.91
1784779799209,0.0400,4082,34,44,17,31,3,17,4004,0,0.0112,4393,78099.15,40689.95
1784779799271,0.0400,4076,37,51,21,36,1,21,3988,2,0.0225,4393,78099.19,40689.91
1784779799341,0.0400,4083,29,55,3,28,1,3,3999,7,0.0000,4393,78099.16,40689.94
1784779799443,0.0400,4077,50,55,15,48,1,15,3972,2,0.0337,4393,78099.18,40689.92
1784779799517,0.0400,4082,31,39,17,26,5,17,4012,5,0.0112,4393,78099.13,40689.96
1784779799577,0.0400,4088,57,41,26,55,2,26,3990,2,0.0337,4393,78099.22,40689.89
1784779799653,0.0400,4079,36,61,18,32,4,18,3982,2,0.0112,4393,78099.13,40689.96
1784779799727,0.0400,4094,45,49,18,43,2,18,4000,4,0.0000,4393,78099.17,40689.92
1784779799790,0.0400,4082,44,45,19,43,1,19,3993,3,0.0112,4393,78099.15,40689.95
1784779799859,0.0400,4091,32,49,10,25,7,10,4010,2,0.0225,4393,78099.15,40689.95
1784779799922,0.0400,4072,32,56,18,26,6,18,3984,1,0.0112,4393,78099.16,40689.94
1784779800003,0.0400,4078,35,53,24,33,2,24,3990,5,0.0337,4393,78099.15,40689.95
1784779800063,0.0400,4090,37,48,15,32,5,15,4005,3,0.0337,4393,78099.14,40689.95
1784779800120,0.0400,4081,47,53,17,45,2,17,3981,2,0.0225,4393,78099.16,40689.93
1784779800160,0.0400,4075,33,50,11,30,3,11,3992,4,0.0112,4393,78099.21,40689.90
1784779800209,0.0400,4080,40,55,11,36,4,11,3985,2,0.0449,4393,78099.15,40689.95
1784779800249,0.0400,4081,31,44,12,30,1,12,4006,3,0.0225,4393,78099.15,40689.94
1784779800289,0.0400,4078,29,54,10,29,0,10,3995,7,0.0112,4393,78099.13,40689.96
1784779800341,0.0400,4089,49,47,21,45,4,21,3993,2,0.0225,4393,78099.14,40689.95
1784779800387,0.0400,4084,35,54,13,35,0,13,3995,2,0.0337,4393,78099.19,40689.91
1784779800436,0.0400,4085,44,51,17,42,2,17,3990,3,0.0225,4393,78099.13,40689.96
1784779800476,0.0400,4084,29,46,15,27,2,15,4009,6,0.0000,4393,78099.16,40689.94
1784779800521,0.0400,4078,38,51,10,36,2,10,3989,4,0.0000,4393,78099.19,40689.91
1784779800561,0.0400,4087,30,54,12,27,3,12,4003,6,0.0000,4393,78099.14,40689.96
1784779800598,0.0400,4088,28,51,11,25,3,11,4009,2,0.0112,4393,78099.16,40689.94
1784779800637,0.0400,4077,31,49,15,31,0,15,3997,1,0.0000,4393,78099.17,40689.93
1784779800679,0.0400,4079,36,50,18,33,2,18,3993,2,0.0112,4393,78099.13,40689.96
1784779800722,0.0400,4075,40,47,14,39,1,14,3988,0,0.0225,4393,78099.13,40689.96
1784779800762,0.0400,4083,31,55,15,28,3,15,3997,3,0.0000,4393,78099.13,40689.96
1784779800802,0.0400,4079,35,55,17,33,2,17,3989,2,0.0112,4393,78099.16,40689.94
1784779800847,0.0400,4078,38,45,15,37,1,15,3995,2,0.0112,4393,78099.15,40689.94
1784779800884,0.0400,4080,49,45,18,43,5,18,3986,3,0.0112,4393,78099.13,40689.96
1784779800934,0.0400,4076,40,42,12,36,4,12,3994,4,0.0112,4393,78099.16,40689.94
1784779800971,0.0400,4078,26,42,10,23,3,10,4010,2,0.0112,4393,78099.14,40689.95
1784779801011,0.0400,4093,34,48,16,29,5,16,4011,7,0.0112,4393,78099.17,40689.93
1784779801059,0.0400,4081,35,45,22,32,3,22,4001,5,0.0112,4393,78099.13,40689.96
1784779801094,0.0400,4086,37,36,17,33,4,17,4013,3,0.0000,4393,78099.15,40689.94
1784779801133,0.0400,4080,35,52,16,35,0,16,3993,2,0.0000,4393,78099.13,40689.96
1784779801177,0.0400,4099,31,60,18,30,1,18,4008,3,0.0225,4393,78099.14,40689.96
1784779801217,0.0400,4075,37,40,15,34,3,15,3998,1,0.0225,4393,78099.13,40689.96
1784779801261,0.0400,4080,52,49,19,51,1,19,3979,3,0.0112,4393,78099.16,40689.94
1784779801298,0.0400,4084,42,49,19,41,1,19,3993,6,0.0112,4393,78099.13,40689.96
1784779801332,0.0400,4102,37,63,20,35,2,20,4002,1,0.0112,4393,78099.15,40689.94
1784779801381,0.0400,4074,31,49,18,28,3,18,3994,4,0.0000,4393,78099.17,40689.93
1784779801427,0.0400,4082,43,45,13,42,1,13,3994,6,0.0337,4393,78099.15,40689.95
1784779801463,0.0400,4086,29,52,12,28,1,12,4005,1,0.0112,4393,78099.17,40689.93
1784779801497,0.0400,4080,41,46,18,37,4,18,3993,1,0.0337,4393,78099.16,40689.94
1784779801531,0.0400,4085,28,59,10,27,1,10,3998,4,0.0337,4393,78099.15,40689.95
1784779801567,0.0400,4086,32,49,13,32,0,13,4005,4,0.0112,4393,78099.15,40689.94
1784779801605,0.0400,4083,40,55,15,36,4,15,3988,7,0.0112,4393,78099.16,40689.94
1784779801646,0.0400,4084,33,51,18,32,1,18,4000,3,0.0000,4393,78099.15,40689.95
1784779801683,0.0400,4089,42,53,19,38,4,19,3994,1,0.0225,4393,78099.15,40689.95
1784779801724,0.0400,4074,35,54,16,33,2,16,3985,3,0.0112,4393,78099.21,40689.89
1784779801770,0.0400,4090,48,53,23,44,4,23,3989,3,0.0449,4393,78099.15,40689.94
1784779801816,0.0400,4093,25,58,11,22,3,11,4010,4,0.0000,4393,78099.15,40689.95
1784779801851,0.0400,4076,35,62,16,31,4,16,3979,1,0.0112,4393,78099.15,40689.95
1784779801895,0.0400,4080,35,64,16,34,1,16,3981,2,0.0112,4393,78099.13,40689.96
1784779801930,0.0400,4093,40,54,11,40,0,11,3999,2,0.0000,4393,78099.14,40689.95
1784779801969,0.0400,4086,37,47,24,36,1,24,4002,2,0.0112,4393,78099.18,40689.92
1784779802006,0.0400,4089,42,47,16,40,2,16,4000,3,0.0337,4393,78099.13,40689.96
1784779802062,0.0400,4091,36,55,17,36,0,17,4000,2,0.0449,4393,78099.13,40689.96
1784779802094,0.0400,4081,32,53,14,31,1,14,3996,4,0.0000,4393,78099.13,40689.96
