run_id,pTransmit,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784904971137,0.04,4901,48,59,25,44,4,25,4794,2,0.0112,4920,59263.64,58999.09
1784904971175,0.04,4916,41,40,16,38,2,16,4835,7,0.0674,4920,59263.56,58999.16
1784904971207,0.04,4902,39,44,15,39,0,15,4819,5,0.0112,4920,59263.68,58999.06
1784904971237,0.04,4927,36,66,14,36,0,14,4825,2,0.0112,4920,59263.57,58999.15
1784904971268,0.04,4938,41,51,14,40,1,14,4846,7,0.0225,4920,59263.55,58999.17
1784904971304,0.04,4872,21,57,8,19,2,8,4794,1,0.0449,4920,59263.53,58999.19
1784904971337,0.04,4916,22,55,13,19,3,13,4839,2,0.0225,4920,59263.55,58999.17
1784904971371,0.04,4870,39,47,22,35,4,22,4784,4,0.0449,4920,59263.56,58999.16
1784904971405,0.04,4919,39,58,23,39,0,23,4822,7,0.0225,4920,59263.61,58999.12
1784904971436,0.04,4853,23,55,12,22,1,12,4775,0,0.0112,4920,59263.5,58999.21
1784904971484,0.04,4886,44,56,24,39,4,24,4786,7,0.0337,4920,59263.57,58999.16
1784904971519,0.04,4897,45,56,14,40,5,14,4796,7,0.0112,4920,59263.58,58999.14
1784904971549,0.04,4894,33,57,10,32,1,10,4804,1,0.0337,4920,59263.59,58999.13
1784904971588,0.04,4922,43,59,18,38,4,18,4820,2,0.0225,4920,59263.58,58999.15
1784904971626,0.04,4846,34,50,19,32,2,19,4762,3,0.0225,4920,59263.59,58999.14
1784904971658,0.04,4938,36,46,18,34,2,18,4856,2,0.0112,4920,59263.61,58999.12
1784904971690,0.04,4844,43,48,18,42,1,18,4753,2,0.0337,4920,59263.52,58999.2
1784904971723,0.04,4889,43,51,15,40,3,15,4795,2,0.0225,4920,59263.57,58999.15
1784904971759,0.04,4908,28,49,16,27,1,16,4831,5,0.0112,4920,59263.66,58999.08
1784904971792,0.04,4865,29,63,14,28,1,14,4773,3,0.0,4920,59263.69,58999.04
1784904971821,0.04,4900,32,59,17,29,3,17,4808,2,0.0,4920,59263.62,58999.11
1784904971859,0.04,4899,42,48,22,38,4,22,4809,3,0.0225,4920,59263.58,58999.15
1784904971893,0.04,4926,38,42,15,35,3,15,4846,3,0.0112,4920,59263.67,58999.06
1784904971927,0.04,4912,33,53,12,32,1,12,4826,3,0.0449,4920,59263.59,58999.14
1784904971966,0.04,4891,24,47,10,23,1,10,4820,5,0.0112,4920,59263.53,58999.19
1784904971999,0.04,4896,37,45,18,36,1,18,4814,1,0.0337,4920,59263.61,58999.11
1784904972051,0.04,4913,31,60,11,30,1,11,4822,1,0.0225,4920,59263.6,58999.13
1784904972087,0.04,4846,35,47,19,32,3,19,4764,5,0.0112,4920,59263.52,58999.2
1784904972123,0.04,4900,30,51,12,30,0,12,4819,4,0.0,4920,59263.6,58999.12
1784904972155,0.04,4887,35,57,10,35,0,10,4795,1,0.0,4920,59263.58,58999.14
1784904972188,0.04,4906,32,42,16,30,2,16,4832,2,0.0112,4920,59263.59,58999.13
1784904972230,0.04,4897,22,50,6,22,0,6,4825,2,0.0,4920,59263.6,58999.13
1784904972277,0.04,4940,37,59,16,37,0,16,4844,5,0.0112,4920,59263.58,58999.15
1784904972307,0.04,4897,47,44,23,46,1,23,4806,3,0.0337,4920,59263.53,58999.19
1784904972339,0.04,4910,26,52,13,24,2,13,4832,2,0.0337,4920,59263.57,58999.15
1784904972374,0.04,4908,37,46,14,34,3,14,4825,4,0.0,4920,59263.55,58999.17
1784904972407,0.04,4900,30,60,21,28,2,21,4810,3,0.0112,4920,59263.62,58999.11
1784904972439,0.04,4844,35,52,17,32,3,17,4757,2,0.0112,4920,59263.6,58999.13
1784904972472,0.04,4904,31,51,11,29,2,11,4822,5,0.0112,4920,59263.53,58999.18
1784904972510,0.04,4865,46,60,20,43,3,20,4759,3,0.0225,4920,59263.59,58999.14
1784904972550,0.04,4916,37,51,20,35,2,20,4828,4,0.0225,4920,59263.59,58999.13
1784904972584,0.04,4862,36,66,18,35,1,18,4760,2,0.0225,4920,59263.59,58999.14
1784904972614,0.04,4916,41,52,16,41,0,16,4823,2,0.0,4920,59263.59,58999.14
1784904972651,0.04,4922,47,53,14,45,2,14,4822,3,0.0,4920,59263.57,58999.15
1784904972686,0.04,4900,43,42,21,41,2,21,4815,0,0.0225,4920,59263.7,58999.04
1784904972718,0.04,4901,44,50,24,44,0,24,4807,4,0.0112,4920,59263.66,58999.07
1784904972748,0.04,4936,45,46,26,40,5,26,4845,6,0.0225,4920,59263.58,58999.15
1784904972782,0.04,4946,31,53,12,29,2,12,4862,2,0.0112,4920,59263.54,58999.18
1784904972816,0.04,4918,40,49,12,39,1,12,4829,0,0.0225,4920,59263.56,58999.17
1784904972851,0.04,4874,27,63,9,24,3,9,4784,3,0.0,4920,59263.6,58999.13
1784904972881,0.04,4928,36,51,21,35,1,21,4841,2,0.0337,4920,59263.59,58999.14
1784904972911,0.04,4902,34,54,18,31,3,18,4814,1,0.0112,4920,59263.59,58999.14
1784904972942,0.04,4923,30,51,17,27,3,17,4842,3,0.0225,4920,59263.54,58999.18
1784904972983,0.04,4876,36,56,18,36,0,18,4784,0,0.0,4920,59263.52,58999.19
1784904973017,0.04,4891,41,61,17,37,4,17,4789,2,0.0112,4920,59263.63,58999.1
1784904973047,0.04,4905,43,47,18,41,2,18,4815,3,0.0449,4920,59263.54,58999.18
1784904973078,0.04,4912,32,45,9,32,0,9,4835,5,0.0,4920,59263.56,58999.16
1784904973114,0.04,4868,27,64,19,26,1,19,4777,2,0.0,4920,59263.5,58999.21
1784904973154,0.04,4922,43,41,20,41,2,20,4838,7,0.0337,4920,59263.63,58999.1
1784904973187,0.04,4853,40,62,17,37,3,17,4751,1,0.0225,4920,59263.58,58999.15
1784904973216,0.04,4922,33,51,19,32,1,19,4838,1,0.0112,4920,59263.68,58999.06
1784904973245,0.04,4860,26,62,16,25,1,16,4772,3,0.0449,4920,59263.64,58999.09
1784904973277,0.04,4959,31,47,15,29,2,15,4881,1,0.0112,4920,59263.58,58999.14
1784904973315,0.04,4913,34,47,8,33,1,8,4832,2,0.0,4920,59263.57,58999.15
1784904973357,0.04,4902,47,46,26,43,4,26,4809,3,0.0112,4920,59263.65,58999.08
1784904973391,0.04,4921,23,52,13,22,1,13,4846,3,0.0,4920,59263.57,58999.15
1784904973420,0.04,4925,39,46,20,35,4,20,4840,3,0.0562,4920,59263.64,58999.09
1784904973451,0.04,4952,30,50,17,27,3,17,4872,5,0.0112,4920,59263.67,58999.06
1784904973491,0.04,4868,32,50,15,30,2,15,4786,2,0.0,4920,59263.58,58999.14
