staff,auto,gate,unt,p_child,arr_d,untreated,treated,adult,child,mape_t5,mape_f8,desv_unt,desv_tre,desv_ad,desv_ch
0,false,0.007911,0.012920,0.0700,198.05,56.00,16.00,32.00,2.00,4.480,8.73,8.57,0.63,-3.96,-4.76
0,false,0.007911,0.013566,0.0700,198.05,58.00,16.00,32.00,2.00,5.450,8.73,12.45,0.63,-3.96,-4.76
0,false,0.007911,0.014212,0.0700,198.05,61.00,16.00,32.00,2.00,6.904,8.73,18.26,0.63,-3.96,-4.76
0,false,0.008350,0.010982,0.0700,198.05,48.00,17.00,33.00,2.00,4.895,8.73,-6.94,6.92,-0.96,-4.76
0,false,0.008350,0.011628,0.0700,198.05,51.00,17.00,33.00,2.00,3.441,8.73,-1.12,6.92,-0.96,-4.76
0,false,0.008350,0.012274,0.0700,198.05,54.00,17.00,33.00,2.00,4.333,8.73,4.69,6.92,-0.96,-4.76
0,false,0.008350,0.012920,0.0700,198.05,57.00,17.00,33.00,2.00,5.787,8.73,10.51,6.92,-0.96,-4.76
0,false,0.008350,0.013566,0.0700,198.05,60.00,17.00,33.00,2.00,7.241,8.73,16.32,6.92,-0.96,-4.76
0,false,0.008350,0.014212,0.0700,198.05,62.00,17.00,33.00,2.00,8.211,8.73,20.20,6.92,-0.96,-4.76
0,false,0.008790,0.010982,0.0700,198.05,48.00,18.00,34.00,2.00,6.738,8.73,-6.94,13.21,2.04,-4.76
0,false,0.008790,0.011628,0.0700,198.05,51.00,18.00,34.00,2.00,5.284,8.73,-1.12,13.21,2.04,-4.76
0,false,0.008790,0.012274,0.0700,198.05,54.00,18.00,34.00,2.00,6.176,8.73,4.69,13.21,2.04,-4.76
0,false,0.008790,0.012920,0.0700,198.05,57.00,18.00,34.00,2.00,7.630,8.73,10.51,13.21,2.04,-4.76
0,false,0.008790,0.013566,0.0700,198.05,60.00,18.00,34.00,2.00,9.084,8.73,16.32,13.21,2.04,-4.76
0,false,0.008790,0.014212,0.0700,198.05,63.00,18.00,34.00,2.00,10.538,8.73,22.14,13.21,2.04,-4.76
0,false,0.009229,0.010982,0.0700,198.05,47.00,19.00,37.00,3.00,20.569,8.73,-8.88,19.50,11.04,42.86
0,false,0.009229,0.011628,0.0700,198.05,50.00,19.00,37.00,3.00,19.115,8.73,-3.06,19.50,11.04,42.86
0,false,0.009229,0.012274,0.0700,198.05,53.00,19.00,37.00,3.00,19.038,8.73,2.75,19.50,11.04,42.86
0,false,0.009229,0.012920,0.0700,198.05,56.00,19.00,37.00,3.00,20.492,8.73,8.57,19.50,11.04,42.86
0,false,0.009229,0.013566,0.0700,198.05,59.00,19.00,37.00,3.00,21.946,8.73,14.39,19.50,11.04,42.86
