KPI,n,media,IC95_lo,IC95_hi,std,paper,desv_pct
untreated,200,52.165,51.29378769718115,53.036212302818846,6.286123746697481,51.58,1.1341605273361786
treated,200,15.615,15.120114018308891,16.109885981691107,3.5707880976320836,15.9,-1.7924528301886802
adultAdmit,200,34.42,33.5512749081406,35.288725091859405,6.268177586129504,33.32,3.301320528211289
childAdmit,200,1.98,1.7679344066582299,2.19206559334177,1.5301328480440242,2.1,-5.714285714285719
