KPI,media,std,historico,desv_%
arrive,68.76363636363638,0.32430874726002795,68.867,-0.15009167869026496
triage,1.5772727272727274,0.21120215573523823,8.133,-80.6065077182746
untreated,2.4045454545454548,0.2967490962046955,5.0,-51.9090909090909
waitAvg,0.012354999999999998,0.011476175550380793,6.433,-99.80794341675734
discharge,28.55,4.334379091088268,72.3,-60.51175656984786
