KPI,media,IC95_lo,IC95_hi,std,paper,desv_%
untreated,52.9,50.038767435269605,55.76123256473039,6.5284801165033,51.58,2.559131446297015
treated,16.1,14.766866295646155,17.43313370435385,3.0418138632972544,15.9,1.2578616352201324
adultAdmit,32.55,30.51670974448853,34.583290255511464,4.639362478889348,33.32,-2.3109243697479087
childAdmit,2.15,1.6319203475180775,2.6680796524819224,1.1821033884786185,2.1,2.3809523809523725
